Region,Year,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Mar Caribe,2013,Dorado,1326,572,3077,2553,2246,2139,3608,1651,1426,79,269,267,19213
Mar Caribe,2013,Marlin,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Marlin Blanco,1529,2850,3749,3173,2981,346,2329,631,1205,270,1377,116,20555
Mar Caribe,2013,Marlin Rosado,0,0,0,0,0,0,0,284,0,0,0,0,284
Mar Caribe,2013,Pez Vela,0,0,128,398,402,262,28,165,217,17,104,0,1722
Mar Caribe,2013,Pez Espada,1707,3810,2342,953,1334,786,541,2152,1735,293,1727,1331,18712
Mar Caribe,2013,Wahoo,50,41,87,104,8,0,36,64,0,0,0,0,389
Mar Caribe,2013,Sardina,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Atun,3348,2830,2235,2799,249,1734,4057,3538,6337,2031,8486,2875,40517
Mar Caribe,2013,Ballyhoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Cazon,10669,7143,3646,4583,4225,2471,3055,5939,4869,1215,5283,6279,59377
Mar Caribe,2013,Posta,4437,7391,4743,2610,1651,1460,1444,1709,1881,1523,3827,1525,34200
Mar Caribe,2013,Maco,278,328,298,335,114,350,162,87,48,0,0,91,2091
Mar Caribe,2013,Treacher,111,0,0,0,0,0,0,0,0,0,0,0,111
Mar Caribe,2013,Camaron Blanco,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Camaron Cafe,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Camaron Rosado,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Camaron Fidel,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Camaron Camello,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Camaron Real,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Camaron Titi,62,0,500,1600,1200,1150,0,600,1950,1400,300,0,8762
Mar Caribe,2013,Langostino,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Langosta Pacifica,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Langosta Caribe,1761,1115,9,0,0,90,5,873,829,31,158,788,5659
Mar Caribe,2013,Calamar,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Pulpo,0,5,2,0,0,0,0,0,0,0,0,0,7
Mar Caribe,2013,Bivalvos,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Cambute,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Aleta Tiburon,1015,802,644,553,212,244,232,309,343,144,551,554,5603
Mar Caribe,2013,Filet,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Buche,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Caribe,2013,Cangrejo,11,49,0,0,0,0,0,0,0,0,0,0,60
Mar Caribe,2013,Tortuga,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanacaste,2012,Primera Grande,0,0,0,100,0,0,8,6,123,14,0,0,251
Guanacaste,2012,Primera Pequena,10971,22503,17894,19634,18941,16133,20325,27587,22030,25236,18066,17600,236920
Guanacaste,2012,Clasificado,32962,14715,29002,11291,3283,3940,6395,4258,5194,6910,3055,3880,124886
Guanacaste,2012,Chatarra,7543,7781,5547,5063,5910,5921,6724,4828,9829,7000,3309,7124,76580
Guanacaste,2012,Agria Cola,220,267,1375,259,477,118,207,963,89,615,546,495,5631
Guanacaste,2012,Cabrilla,5784,26445,39587,8794,2994,2779,2828,1439,1977,2195,803,1395,97020
Guanacaste,2012,Pargo,883,1550,1171,2353,5319,1825,1670,6037,4017,3661,127,307,28920
Guanacaste,2012,Pargo Seda,4025,4234,3922,16216,43184,39686,33924,79961,23694,23920,3745,4867,281379
Guanacaste,2012,Dorado,33662,21691,7366,26194,11626,8222,18653,41141,53315,240992,142766,119912,725540
Guanacaste,2012,Marlin,0,124,1813,1072,340,288,249,600,306,182,28,120,5120
Guanacaste,2012,Marlin Blanco,3513,7354,7651,6954,9239,6947,4089,17489,7489,2757,2551,2524,78557
Guanacaste,2012,Marlin Rosado,5048,4448,8635,7644,7570,5457,5582,2773,2744,3595,2771,5227,61494
Guanacaste,2012,Pez Vela,824,3139,2170,2639,3332,4358,4915,5387,5602,6520,3436,4029,46350
Guanacaste,2012,Pez Espada,30446,15983,50023,52667,80324,79923,113026,100451,78680,22301,32764,60918,717506
Guanacaste,2012,Wahoo,150,271,312,352,376,65,40,46,57,140,160,45,2013
Guanacaste,2012,Sardina,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanacaste,2012,Atun,40791,53717,97896,80866,39488,39533,84628,45076,35205,31777,40035,65304,654315
Guanacaste,2012,Ballyhoo,324,2650,2223,149,126,184,296,124,263,89,54,52,6534
Guanacaste,2012,Cazon,82862,50748,103512,57407,19020,85525,122342,94589,74074,22173,34824,22298,769375
Guanacaste,2012,Posta,29202,23745,95304,31646,21486,28345,37136,19377,13331,9370,17791,14058,340792
Guanacaste,2012,Maco,23,0,193,178,120,10,0,20,0,0,22,0,565
Guanacaste,2012,Treacher,3218,2345,7506,4126,5623,4246,7473,7881,5806,2044,2632,1545,54445
Guanacaste,2012,Camaron Blanco,51,0,0,0,0,2,100,0,31,0,0,0,183
Guanacaste,2012,Camaron Cafe,0,0,0,0,0,897,0,0,0,0,7,0,904
Guanacaste,2012,Camaron Rosado,9539,1363,1051,1708,321,0,3368,637,4097,4315,2363,1603,30364
Guanacaste,2012,Camaron Fidel,106,0,0,39,0,0,662,0,399,0,0,0,1205
Guanacaste,2012,Camaron Camello,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanacaste,2012,Camaron Real,2613,2802,5551,1132,13178,13413,14015,11502,16603,24520,12034,2608,119971
Guanacaste,2012,Camaron Titi,0,0,0,0,0,2,351,0,124,0,0,0,476
